,video_id,title,thumbnail,tag_id
0,-6vKQ6UGBvA,치킨과 떡볶이 대환상 조합 혼자서 가능? (Feat. 걸작떡볶이),https://i.ytimg.com/vi/-6vKQ6UGBvA/hqdefault.jpg,1
1,-9g211DbMb4,먹방 브이로그? | 빙수투어?와 빵투어 | 빵어니스타 당옥 부빙 보나브뉴 묘한빵집 미니마이즈,https://i.ytimg.com/vi/-9g211DbMb4/hqdefault.jpg,1
2,RXSVjyF8g-A,분위기는 파스타 맛집인데 해장국을 메인으로 선보이는 반전 맛집 feat.육전 (방배동 함포해장),https://i.ytimg.com/vi/RXSVjyF8g-A/hqdefault.jpg,1
3,Sb13vIZdCa8,대왕돈까스 노포분식집 신신분식 세숫대야떡볶이 김치볶음밥 쫄면 라면먹방 korean mukbang eatingshow,https://i.ytimg.com/vi/Sb13vIZdCa8/hqdefault.jpg,1
4,SbdWznGi3VU,초강력 매운짬뽕 30년차 배우랑 눈물 흘리면서 먹었습니다! (feat 짜장면\u0026김밥) KOREAN SPICY JJAMPPONG MUKBANG,https://i.ytimg.com/vi/SbdWznGi3VU/hqdefault.jpg,1
5,-eALYoNawOg,얼큰한 쇠고기라면 8봉지와 묵은지 먹방~!! 리얼사운드  ASMR Mukbang(Eating Show),https://i.ytimg.com/vi/-eALYoNawOg/hqdefault.jpg,1
6,sHHpNoezrhk,집밥먹방) 소주가땡기는맛 / 국물이 얼큰한 닭볶음탕 먹방,https://i.ytimg.com/vi/sHHpNoezrhk/hqdefault.jpg,1
7,ShNUx-hc57E,밥3공기+돈까스3인분(돈까스비빔밥) 고들빼기김치+노지땡초 우적우적먹방입니다 MUKBANG,https://i.ytimg.com/vi/ShNUx-hc57E/hqdefault.jpg,1
8,sitxQnPypkk,강릉여행 핫플 맛집 뿌셔?툇마루/초당옥수수커피/갤러리밥스/세인트존스 등,https://i.ytimg.com/vi/sitxQnPypkk/hqdefault.jpg,1
9,siXzAvp-ZRA,일본의 아침 밥 모은 일상 브이로그 | 일본일상vlog,https://i.ytimg.com/vi/siXzAvp-ZRA/hqdefault.jpg,1
10,SnL8Sz-ayFA,[초저가]김밥 한줄 990원? 저세상가격ㄷㄷ10줄 묵고 떡볶이 라면사리 어묵탕 KOREAN MUKBANG,https://i.ytimg.com/vi/SnL8Sz-ayFA/hqdefault.jpg,1
11,00U0hG9fDHE,ENG) 물새는 자취방? 먹어서 이겨내는 브이로그?ㅣ치킨샌드위치 불닭어묵 낙곱새 자가리코 치즈범벅 회오리감자 배추전 명란오일파스타 순두부찌개 통새우와퍼 로스팅짜장면,https://i.ytimg.com/vi/00U0hG9fDHE/hqdefault.jpg,1
12,0aRBc3wn3z8,먹방 브이로그 | 만두전골 짬뽕 탕수육 고급양갈비 돼지갈비 김밥 현무암돌빵 열무김치 | 술먹방 혼술 폭식 일상,https://i.ytimg.com/vi/0aRBc3wn3z8/hqdefault.jpg,1
13,SqSaPjuk_k4,먹방창배tv 묵은지등갈비찌개 계란후라이 끝 아유레디 가즈아 Back Rib and Kimchi Stew eatingshow mukbang koreanfood realsound as,https://i.ytimg.com/vi/SqSaPjuk_k4/hqdefault.jpg,1
14,T0dvCo9lwNo,ㅎ힙ㅂ밥님 술도 잘 먹나ㅇ??,https://i.ytimg.com/vi/T0dvCo9lwNo/hqdefault.jpg,1
15,t59xldePBUI,닭이 몇 마리야 이게...? 화끈 국물 닭발 + 주먹밥 산더미,https://i.ytimg.com/vi/t59xldePBUI/hqdefault.jpg,1
16,1jw_L_UhB_k,분위기는 100점 맛은 134점 주고 싶은 BTS 회사 뒷편 용리단길 화로구이 맛집 (용산 화양연화),https://i.ytimg.com/vi/1jw_L_UhB_k/hqdefault.jpg,1
17,1W5qB01uv9U,[먹방브이로그] 인생떡볶이 너로 정했다 ?(바뀐 mbti ? 삼첩분식 바질크림떡볶이 대구막창 매콤크림리조또 감자폭탄 엄마는외계인 배스킨라빈스 ),https://i.ytimg.com/vi/1W5qB01uv9U/hqdefault.jpg,1
18,28BqLWSHX_o,알록달록 꽃 화과자와 우유 먹방~!! 리얼사운드  ASMR Mukbang(Eating Show),https://i.ytimg.com/vi/28BqLWSHX_o/hqdefault.jpg,1
19,Tq4deLAaBeI,운동에 미친 친구 닭가슴살 헬파티로 생일 축하해주기?? 닭가슴살 피자 파스타부터 닭가슴살 케이크까지... 단백질 지옥^^,https://i.ytimg.com/vi/Tq4deLAaBeI/hqdefault.jpg,1
20,TrBG1tPwcbs,리얼가족먹방:)세상맛있는 제육볶음 만들어서 콩국수랑 먹방(ft.볶음밥까지)ㅣSpicy Pork\u0026 Cold bean-soup noodlesㅣMUKBANGㅣEATING SHOW,https://i.ytimg.com/vi/TrBG1tPwcbs/hqdefault.jpg,1
21,2FBbRCMIUKA,[김밥전편] 다이어트.. 그리고 가평에서..? 먹방브이로그(마제소바 김밥볶음밥 샌드위치다슬기해장국장어육사시미라볶이바베큐비어퐁김치어묵우동) MUKBANG VLOG,https://i.ytimg.com/vi/2FBbRCMIUKA/hqdefault.jpg,1
22,TyjOGVjNm8s,10000칼로리챌린지 만칼로리라 부르고 행복한과식이라 말한다 ( 뿌링클크리스피도넛빵과자짜파게티아이스크림오겹살등),https://i.ytimg.com/vi/TyjOGVjNm8s/hqdefault.jpg,1
23,TZgw4GqCVLE,살코기 두툼한 국물 왕갈비찜 + 총각김치 + 땡초 + 양념국물에 밥까지 말아먹었습니다 MUKBANG,https://i.ytimg.com/vi/TZgw4GqCVLE/hqdefault.jpg,1
24,2_JFCoxt9bM,캠핑의 계절?다이어트 포기..몰라 그냥 놀고 먹자??‍??,https://i.ytimg.com/vi/2_JFCoxt9bM/hqdefault.jpg,1
25,T_Dzut4Mdyk,추억의 김밥천국 안 가본 꼬김이????대표메뉴 전부 시켜보았다? 치즈라볶이 돈까스 쫄면 제육덮밥 순두부찌개 참치김밥 치즈김밥 돌솥날치알밥 먹방!,https://i.ytimg.com/vi/T_Dzut4Mdyk/hqdefault.jpg,1
26,t_Lf1lwnOTI,먹방 브이로그 | 치즈황금찜닭 불고기\u0026에그마요 반미샌드위치 국화빵 편의점 몬테크리스토 샌드위치 빵 쿠키 멸치칼국수 라면 콩쑥개떡 볶음밥 당면 집밥 | 자취생 일상 VLOG,https://i.ytimg.com/vi/t_Lf1lwnOTI/hqdefault.jpg,1
27,u6QbnqiredY,용용 가게 먹방:) 아파트 알뜰장 잔치국수 묵사발 비빔냉국수 먹방 인천 연수 대우삼환(화) 평택 지제역힐스테이트(목) 안양 석수e편한세상(금) 드시러 오세요 Mukbang,https://i.ytimg.com/vi/u6QbnqiredY/hqdefault.jpg,1
28,uceulITI0Gk,다이어트브이로그) 우린이걸..?일단 다이어트 브이로그는 아니라고 부르기로 했어요 (치즈돈까스/망원동티라미수/마카롱/쌀국수/가드칸슈/크럼블/돼지갈비찜/거꾸로당 디저트/먹방브이로그),https://i.ytimg.com/vi/uceulITI0Gk/hqdefault.jpg,1
29,3uJsAfBpJmo,여러모로 사랑 듬뿍받은..? 짧고 굵은 남해 먹방여행? 휴게소먹방+돈까스제육볶음삽겹등갈비바베큐독일마을 슈바인학센비빔면+컵라면화채✨ / 2박3일 커플여행?,https://i.ytimg.com/vi/3uJsAfBpJmo/hqdefault.jpg,1
30,ukYvd5nML5w,돼지파티 하다보니 여름이었다 ?? 먹방 브이로그 | 술먹방 | 마라샹궈 뿌링클 피자 닭강정 간장뼈찜 초계국수 바나나푸딩 츠케멘 | 우울증 극복기 | 일주일 일상기록,https://i.ytimg.com/vi/ukYvd5nML5w/hqdefault.jpg,1
31,46gbYMMI6wM,의식의 흐름대로 먹고 마신 돼지기록 먹방 브이로그 | 쭈꾸미 한우 대새치킨 해장 김밥 골뱅이 닭목살 우동 도넛 김치전 육회 | 술먹방 혼술 폭식 일상,https://i.ytimg.com/vi/46gbYMMI6wM/hqdefault.jpg,1
32,4bNLtBi3Ww0,역대급 맛있는 매운 김치 발견! | 전주 진김치 겉절이에 흰쌀밥 생김 싸서 김치에 밥 먹방! spicy kimchi challenge | MUKBANG,https://i.ytimg.com/vi/4bNLtBi3Ww0/hqdefault.jpg,1
33,4do3Gew8Cf0,치즈폭탄 불닭카레? 왕새우튀김 겉절이 신김치 먹방 ASMR MUKBANG | Cheesy and Spicy Fire Curry \u0026 Giant Fried Shrimp \u0026 Kimchi,https://i.ytimg.com/vi/4do3Gew8Cf0/hqdefault.jpg,1
34,uupolxUtEPg,삼대장은 먹방을 찢어? 셋이서 의리로 먹는 죽음의 K-매운맛 모음.zip (불닭볶음면엽떡송주불냉면볼케이노신전떡볶이불닭김치쌈) | #먼슬리디글 #삼대장,https://i.ytimg.com/vi/uupolxUtEPg/hqdefault.jpg,1
35,4m2fUiautzY,45cm 대왕 랍스터라면 도전먹방 20분안에 다먹으면공짜 실패시 150000원?! challenge mukbang eatingshow,https://i.ytimg.com/vi/4m2fUiautzY/hqdefault.jpg,1
36,4Ve_e0QOeNQ,숯불에 구워먹는뒷고기 . [Pork Barbecue special meat],https://i.ytimg.com/vi/4Ve_e0QOeNQ/hqdefault.jpg,1
37,5df21yqWRFs,강나루 식당에서 장이장님과함께,https://i.ytimg.com/vi/5df21yqWRFs/hqdefault.jpg,1
38,5J9GapiNjHM,?vlog:짜투리저녁일상들?? 퇴근후저녁만들어먹기찐일상호주에살지만한식만만들어먹음,https://i.ytimg.com/vi/5J9GapiNjHM/hqdefault.jpg,1
39,v7oYmcI6kL8,[맛집의 성지 문래동] 운동하고 밥 먹으면 평소보다 두배 먹습니다.. 진짜 맛있는 닭 특수부위 오늘 30인분 최초 도전!,https://i.ytimg.com/vi/v7oYmcI6kL8/hqdefault.jpg,1
40,V97rb2pr7M0,요즘 인싸들이 신전떡볶이 먹는 법? 근데 진짜 맛있을까?,https://i.ytimg.com/vi/V97rb2pr7M0/hqdefault.jpg,1
41,5NzrYNbgf0o,먹방vlog)꾹꾹 눌러담은 마지막 먹부림??핫슈프림히포파운드짜장면 맛집발견!전직 알바생의 오빠닭 메뉴추천진비빔면보말전도넛맛집들?반새오시나몬롤냉모밀탄탄면,https://i.ytimg.com/vi/5NzrYNbgf0o/hqdefault.jpg,1
