,video_id,title,thumbnail,tag_id
0,-iPoqSkgkEE,? [????????] 이거 틀면 리얼;; 옆차선에서 노래 제목 알려달라고 한다. feat.국내힙합,https://i.ytimg.com/vi/-iPoqSkgkEE/hqdefault.jpg,1
1,06LKpwZJRwA,PLAYLIST  |? 중독성 지리는 힙합 노래 모음? | an addictive collection of hip-hop songs,https://i.ytimg.com/vi/06LKpwZJRwA/hqdefault.jpg,1
2,0pK_sBnucvU,[????????] 나에게 처음으로 온 사랑이란 너 설레는 감성힙합 플레이리스트,https://i.ytimg.com/vi/0pK_sBnucvU/hqdefault.jpg,1
3,4FRRTSuhIBk,[????????] 비 올 때 틀어 놓기 좋은 감성힙합 모음?? I 에픽하이 헤이즈 다이나믹듀오 페노메코 + ..,https://i.ytimg.com/vi/4FRRTSuhIBk/hqdefault.jpg,1
4,4XMjnIP7RbQ,쇼미더머니에서 피처링으로 뺏은 곡모음 | 쇼미 345678,https://i.ytimg.com/vi/4XMjnIP7RbQ/hqdefault.jpg,1
5,5XGS_eSdtUY,어깨춤이 절로 나오는 신나는 힙합 Playlist|기리보이 키드밀리 창모 Sik-K pH-1 YUGYEOM Lit Korean HipHop Mix,https://i.ytimg.com/vi/5XGS_eSdtUY/hqdefault.jpg,1
6,Wkhb8X6dnNw,? 첫눈에 반했을때 듣는 감성 힙합/알앤비 | Playlist 감성국힙 릴러말즈 기리보이 서동현 백예린,https://i.ytimg.com/vi/Wkhb8X6dnNw/hqdefault.jpg,1
7,8pXBFVptB7M,? [????????] 술 마실때 들으면 분위기 야해지는 알앤비 힙합,https://i.ytimg.com/vi/8pXBFVptB7M/hqdefault.jpg,1
8,9IkJaPQYR9Q,[ ???????? ] 아드레날린이 폭주하는 개신나는 국힙모음,https://i.ytimg.com/vi/9IkJaPQYR9Q/hqdefault.jpg,1
9,AsueadRUWoE,[????????] 듣기만 해도 시원한 시원청량 여름 힙합 모음?? I 지코 박재범 트웰브 죠지 + ..,https://i.ytimg.com/vi/AsueadRUWoE/hqdefault.jpg,1
10,Be-9LfjEuHo,???? ?? ??? ????? ??? (쇼미더머니 777) [PLAYLIST]  [노래 모음],https://i.ytimg.com/vi/Be-9LfjEuHo/hqdefault.jpg,1
11,Z4y6VuAEO30,[????????] 감성 타고 싶을 때 틀어놓기 좋은 알앤비 \u0026 감성힙합 모음?? I 빅나티 쿠기 그레이 폴블랑코 + ..,https://i.ytimg.com/vi/Z4y6VuAEO30/hqdefault.jpg,1
12,z5ETxYVLH-Y,[????????] 여름 밤 틀어놓기 좋은 감성힙합 \u0026 알앤비 모음?? I 뎁트 창모 릴러말즈 해쉬스완 + ..,https://i.ytimg.com/vi/z5ETxYVLH-Y/hqdefault.jpg,1
13,cHPUtgOajiQ,【1시간】헤이즈 (Heize) - 헤픈 우연,https://i.ytimg.com/vi/cHPUtgOajiQ/hqdefault.jpg,1
14,ctAmUvoDkXE,Zion.T - '선물을 고르며(A Gift!)’ M/V,https://i.ytimg.com/vi/ctAmUvoDkXE/hqdefault.jpg,1
15,CyTeaQiYb3A,가사 있음 | ???? ?? ??? ????? ? (쇼미더머니 9) [PLAYLIST] [노래 모음],https://i.ytimg.com/vi/CyTeaQiYb3A/hqdefault.jpg,1
16,JzziwpDrigs,[Playlist] 역대 힙합 멜론 1위곡 모음,https://i.ytimg.com/vi/JzziwpDrigs/hqdefault.jpg,1
17,DeS0efNvLe4,[ ???????? ] 회사에서 부장님 몰래 듣다 같이 리듬타는 신나는 국힙 모음,https://i.ytimg.com/vi/DeS0efNvLe4/hqdefault.jpg,1
18,dpJ2-7BGgX8,? 선곡 맛집 카페에서 흘러나오는 감성 힙합 \u0026 알앤비 노래 모음 | PLAYLIST,https://i.ytimg.com/vi/dpJ2-7BGgX8/hqdefault.jpg,1
19,DR3PAs8gtFY,? ? ? ? ? (딘) [PLAYLIST] [노래 모음] ?,https://i.ytimg.com/vi/DR3PAs8gtFY/hqdefault.jpg,1
20,kZTsu0awTYI,[Playlist] 힙합 히트곡 모음,https://i.ytimg.com/vi/kZTsu0awTYI/hqdefault.jpg,1
21,nXM7ekAEobw,?여름밤 시원하게 맥주 한잔하며 듣는 감성 힙합 | Playlist 디핵 애쉬아일랜드 호미들 DPR LIVE,https://i.ytimg.com/vi/nXM7ekAEobw/hqdefault.jpg,1
22,EBc7zrl0zRA,♬ ? ? ? ? ? (콜드) [PLAYLIST] [노래 모음] ♬,https://i.ytimg.com/vi/EBc7zrl0zRA/hqdefault.jpg,1
23,eoJtuECmhGA,? [????????] 너 꼬실때 듣는 노래,https://i.ytimg.com/vi/eoJtuECmhGA/hqdefault.jpg,1
24,f2LHIw1VDQA,?️ 오션뷰 선곡 맛집 카페에서 흘러나오는 여름 감성 힙합 \u0026 알앤비 노래 모음ㅣPLAYLIST,https://i.ytimg.com/vi/f2LHIw1VDQA/hqdefault.jpg,1
25,jpd-xRETiMM,[????????] 틀어놓고 추억 젖기 좋은 감성힙합 모음?? I 다이나믹듀오 프라이머리 긱스 개리 + ..,https://i.ytimg.com/vi/jpd-xRETiMM/hqdefault.jpg,1
26,jla6L6eDmPE,???????? 송민호 본업은 사실 래퍼였다,https://i.ytimg.com/vi/jla6L6eDmPE/hqdefault.jpg,1
27,fZtnZHzmwOg,Playlist ? 밤에 듣는 감성 힙합 얼마나 맛있게요~ | 그루비한 국내 힙합 싱잉랩 노래모음 플레이리스트 광고없음 | 오반 디핵 창모 애쉬아일랜드 기리보이 ph-1 헤이즈 |,https://i.ytimg.com/vi/fZtnZHzmwOg/hqdefault.jpg,1
28,Gs1SYkTwEpQ,[ ???????? ] 그녀가 생각나는 감성 국힙 모음,https://i.ytimg.com/vi/Gs1SYkTwEpQ/hqdefault.jpg,1
29,gUKy1OdA6gA,[Playlist] 멜론 1위 모두가 아는 힙합 히트곡 모음,https://i.ytimg.com/vi/gUKy1OdA6gA/hqdefault.jpg,1
30,__7lLShP4FU,#ILOVEU CHALLENGE with aespa 닝닝?,https://i.ytimg.com/vi/__7lLShP4FU/hqdefault.jpg,0
31,__g7wlFxK4w,대왕수박볼젤리 Watermelon Party Mukbang 수박파티 먹방 미니수박볼젤리 Big Ball Jelly JJAEMI째미 Eating show,https://i.ytimg.com/vi/__g7wlFxK4w/hqdefault.jpg,0
32,_-I0Qg8AFvg,?전통 가요 트로트 메들리 ?  감나무골.하와이연정.행복이란.몰래한사랑.항구.삼백리한려수도.물새우는강언덕.돌아와요부산항에.열아홉순정.,https://i.ytimg.com/vi/_-I0Qg8AFvg/hqdefault.jpg,0
33,_-MgLwisq0k,[커리WATCH] 스테픈 커리에게 연평균 600억 안긴 골든스테이트. 과연 제정신일까?,https://i.ytimg.com/vi/_-MgLwisq0k/hqdefault.jpg,0
34,_1onVOBm9KQ,테니스화 특징 및 구입장소에 대한 어드바이스,https://i.ytimg.com/vi/_1onVOBm9KQ/hqdefault.jpg,0
35,_1p335prxzs,트위치를 도박 방송으로 유행시킨 그 게임???,https://i.ytimg.com/vi/_1p335prxzs/hqdefault.jpg,0
36,_2E2wLOn6Tc,[출근길레슨] 테이크백의 정의를 내려드릴게요. 이제 더이상 헷갈리지마세요. 프로허석,https://i.ytimg.com/vi/_2E2wLOn6Tc/hqdefault.jpg,0
37,_2Vrsti9g2g,[오버워치] 티어 올리는 꿀팁 알려달라고? 지금부터 하나씩 푼다 / 잘 새겨들으세요 / 그마경쟁전티어올리는법overwatch모이라 장인 / [오버워치 공략] / 시심이,https://i.ytimg.com/vi/_2Vrsti9g2g/hqdefault.jpg,0
38,_3NUHk7865o,남자 97%가 좋아하는 목소리의 여성분...계속 듣게됨,https://i.ytimg.com/vi/_3NUHk7865o/hqdefault.jpg,0
39,_4E6MkUj5h8,[Playlist] 설레고 둠칫한 플리는 자신있다 이말이야??? | 아무때나 틀어놓기 좋은 둠칫한 감성 플레이리스트 |,https://i.ytimg.com/vi/_4E6MkUj5h8/hqdefault.jpg,0
40,_5lG9fNunNQ,미국 여자 대학생 테니스 복식경기 소개,https://i.ytimg.com/vi/_5lG9fNunNQ/hqdefault.jpg,0
41,_5rWxlhSj_Q,안나?수지를 닮은 반에서 제일 예쁘지만 가난한 여자애 반전인생?원작 해석포함,https://i.ytimg.com/vi/_5rWxlhSj_Q/hqdefault.jpg,0
42,_6RFbCSv_v4,시시콜콜 연애토크 하면서 쿨톤 메이크업하고??‍♀️ 하루필름 찍고 맛있는 거 먹는 vlog?,https://i.ytimg.com/vi/_6RFbCSv_v4/hqdefault.jpg,0
43,_9EYoM9myPY,2022.7.26(화) 오후 방송 풀영상,https://i.ytimg.com/vi/_9EYoM9myPY/hqdefault.jpg,0
44,_9la_Nxe-H8,네이마르 선수와 배그 했습니다,https://i.ytimg.com/vi/_9la_Nxe-H8/hqdefault.jpg,0
45,_aig5ghGuRM,테니스 혼복마스터로가는길_혼복연습경기 l남복같은혼복l지승실내테니스장,https://i.ytimg.com/vi/_aig5ghGuRM/hqdefault.jpg,0
46,_B-qM-iqbD0,오버워치★ 단 12초만에 승리하는 완벽한 4드론 전략 #423,https://i.ytimg.com/vi/_B-qM-iqbD0/hqdefault.jpg,0
47,_bD57D2AxjQ,영국 BBC 한국의 존댓말에 대해 묻다 한국어는 세계에서 가장 복잡한 다중단계의 언어체계,https://i.ytimg.com/vi/_bD57D2AxjQ/hqdefault.jpg,0
48,_BHbwZFYvLU,[테니스] 복식 게임을 잘 하려면 네트 플레이를 하라(2편),https://i.ytimg.com/vi/_BHbwZFYvLU/hqdefault.jpg,0
49,_bOzzpHYurk,최고령 사이클링히트 LG 이병규,https://i.ytimg.com/vi/_bOzzpHYurk/hqdefault.jpg,0
